[     167ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2477
[     442ms] [LOG] [Fast Refresh] done in 377ms @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2477
[     629ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2477
[     641ms] [LOG] [HMR] connected @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2477
[    6242ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=mNDlzVh-pJGzCPmNL4NUQ' failed:  @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[    7247ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=mNDlzVh-pJGzCPmNL4NUQ' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[    8249ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=mNDlzVh-pJGzCPmNL4NUQ' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[    9253ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=mNDlzVh-pJGzCPmNL4NUQ' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   10255ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=mNDlzVh-pJGzCPmNL4NUQ' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   11258ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=mNDlzVh-pJGzCPmNL4NUQ' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   16263ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=mNDlzVh-pJGzCPmNL4NUQ' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   21272ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=mNDlzVh-pJGzCPmNL4NUQ' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   26278ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=mNDlzVh-pJGzCPmNL4NUQ' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   31298ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=mNDlzVh-pJGzCPmNL4NUQ' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   36335ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=mNDlzVh-pJGzCPmNL4NUQ' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   41456ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=mNDlzVh-pJGzCPmNL4NUQ' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   46677ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=mNDlzVh-pJGzCPmNL4NUQ' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
