[     161ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2477
[     497ms] [LOG] [Fast Refresh] done in 437ms @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2477
[     535ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2477
[     548ms] [LOG] [HMR] connected @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2477
[    8129ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=ijh_s--AkeMmoq5m3Sgxa' failed:  @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[    9135ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=ijh_s--AkeMmoq5m3Sgxa' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   10136ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=ijh_s--AkeMmoq5m3Sgxa' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   11138ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=ijh_s--AkeMmoq5m3Sgxa' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   12142ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=ijh_s--AkeMmoq5m3Sgxa' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   13143ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=ijh_s--AkeMmoq5m3Sgxa' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   18147ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=ijh_s--AkeMmoq5m3Sgxa' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   23153ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=ijh_s--AkeMmoq5m3Sgxa' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   28169ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=ijh_s--AkeMmoq5m3Sgxa' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   33210ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=ijh_s--AkeMmoq5m3Sgxa' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   38294ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=ijh_s--AkeMmoq5m3Sgxa' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   43379ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=ijh_s--AkeMmoq5m3Sgxa' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   48557ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=ijh_s--AkeMmoq5m3Sgxa' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
