[     128ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2477
[     140ms] [LOG] [HMR] connected @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2477
[   16514ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=j3PtGbcaEBsr5SxjbkSnr' failed:  @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   17517ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=j3PtGbcaEBsr5SxjbkSnr' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   18520ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=j3PtGbcaEBsr5SxjbkSnr' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   19521ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=j3PtGbcaEBsr5SxjbkSnr' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   20523ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=j3PtGbcaEBsr5SxjbkSnr' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   21527ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=j3PtGbcaEBsr5SxjbkSnr' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   26533ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=j3PtGbcaEBsr5SxjbkSnr' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   31543ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=j3PtGbcaEBsr5SxjbkSnr' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   36550ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=j3PtGbcaEBsr5SxjbkSnr' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   41592ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=j3PtGbcaEBsr5SxjbkSnr' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   46651ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=j3PtGbcaEBsr5SxjbkSnr' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   51727ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=j3PtGbcaEBsr5SxjbkSnr' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   57001ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=j3PtGbcaEBsr5SxjbkSnr' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
