[     309ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2477
[     391ms] [LOG] [HMR] connected @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2477
[   84574ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=-VX8CW21ELFskWOy9AiLM' failed:  @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   85579ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=-VX8CW21ELFskWOy9AiLM' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   86581ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=-VX8CW21ELFskWOy9AiLM' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   87584ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=-VX8CW21ELFskWOy9AiLM' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   88588ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=-VX8CW21ELFskWOy9AiLM' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   89592ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=-VX8CW21ELFskWOy9AiLM' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   94597ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=-VX8CW21ELFskWOy9AiLM' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   99608ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=-VX8CW21ELFskWOy9AiLM' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[  104628ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=-VX8CW21ELFskWOy9AiLM' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[  109667ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=-VX8CW21ELFskWOy9AiLM' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[  114754ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=-VX8CW21ELFskWOy9AiLM' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[  119822ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=-VX8CW21ELFskWOy9AiLM' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[  125048ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=-VX8CW21ELFskWOy9AiLM' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
