[     173ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2477
[     216ms] [LOG] [HMR] connected @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2477
[   46742ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=1GVqPqG5jML8UX5nu72JS' failed:  @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   47749ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=1GVqPqG5jML8UX5nu72JS' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   48751ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=1GVqPqG5jML8UX5nu72JS' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   49765ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=1GVqPqG5jML8UX5nu72JS' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   50767ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=1GVqPqG5jML8UX5nu72JS' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   51772ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=1GVqPqG5jML8UX5nu72JS' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   56775ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=1GVqPqG5jML8UX5nu72JS' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   61788ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=1GVqPqG5jML8UX5nu72JS' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   66801ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=1GVqPqG5jML8UX5nu72JS' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   71823ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=1GVqPqG5jML8UX5nu72JS' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   76878ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=1GVqPqG5jML8UX5nu72JS' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   81945ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=1GVqPqG5jML8UX5nu72JS' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[   87163ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=1GVqPqG5jML8UX5nu72JS' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
